latitude,longitude,bright_ti4,confidence,bright_ti5,frp
-37.257603,142.766037,367.0,h,321.72,14.89
-37.333698,142.799484,367.0,h,319.1,16.58
-37.331253000000004,142.793732,367.0,h,319.51,27.85
-37.319546,142.809143,367.0,h,311.09,22.53
-37.294594000000004,142.77742,367.0,h,313.25,5.8
-37.31496,142.79634099999998,367.0,h,312.97,17.15
-37.37878,142.844391,367.0,h,307.55,14.56
-37.332783,142.820206,367.0,h,302.41,13.43
-37.346165,142.81909199999998,367.0,h,308.29,16.69
-37.343262,142.80638100000002,367.0,h,295.97,20.89
-37.350605,142.80351299999998,367.0,h,312.26,33.68
-37.335449,142.833755,367.0,h,304.23,18.11
-37.360638,142.81411699999998,367.0,h,305.45,9.88
-36.787544,141.39682,367.0,h,340.8,105.43
-37.070019,142.08068799999998,367.0,h,342.66,79.15
-37.125313,142.09581,367.0,h,310.94,61.21
-36.936661,145.823441,367.0,h,299.36,24.34
-36.940613,145.825348,367.0,h,300.35,12.07
-37.646065,146.18223600000002,367.0,h,293.46,11.54
-36.479965,147.082092,367.0,h,299.03,12.31
-36.798313,146.178543,367.0,h,298.34,7.24
-37.862774,145.882462,367.0,h,333.11,379.58
-37.185328999999996,148.750626,367.0,h,295.63,32.81
-36.466175,147.108475,367.0,h,304.89,18.63
-36.503067,147.089813,367.0,h,307.26,10.34
-36.010494,147.46313500000002,367.0,h,306.36,9.59
-36.80965,146.15557900000002,367.0,h,294.32,9.3
-36.897265999999995,148.257507,367.0,h,300.52,28.52
-36.904419,148.227661,367.0,h,306.73,14.73
-36.914696,148.228882,367.0,h,300.54,30.6
-36.906807,148.269562,367.0,h,296.73,9.27
-36.906494,148.233124,367.0,h,303.09,17.09
-36.779896,146.15403700000002,367.0,h,302.79,13.14
-36.816174,146.15567,367.0,h,302.32,54.58
-37.127968,147.902771,367.0,h,292.38,8.29
-37.188782,145.17688,367.0,h,297.65,10.18
-36.773174,146.156204,367.0,h,302.32,13.14
-36.450722,147.109756,367.0,h,300.79,14.79
-36.929852000000004,148.24899299999998,367.0,h,303.5,13.13
-37.468166,146.567352,367.0,h,313.82,5.86
-37.448818,146.58165,367.0,h,321.24,23.94
-36.577,147.70546000000002,367.0,h,307.76,12.87
-36.504985999999995,147.470444,367.0,h,306.38,15.89
-36.590199,147.656738,367.0,h,308.05,8.48
-36.612469,147.760574,367.0,h,297.3,8.35
-36.712223,141.001297,367.0,h,295.73,7.52
-35.115390999999995,142.8974,367.0,h,309.8,12.76
-35.649792,142.739258,367.0,h,308.24,7.99
-37.814316,142.13089,367.0,h,292.59,13.36
